Preparation Time (mins),Cancellation Status,Order Hour (24h),Distance (km),Delivery Time (mins)
23,False,20,14.117143543453489,76
16,False,0,9.17735390244908,34
41,False,9,34.753920932100336,152
9,False,6,26.596184132460515,93
49,True,12,26.204151843529942,141
57,False,19,5.3803229928468665,62
16,False,16,29.84901423588295,93
32,False,2,6.622346152381506,40
13,True,21,9.29136381553333,83
37,False,22,34.269145298308736,126
39,False,3,6.784405636737118,65
13,True,8,20.45162927235563,77
51,False,21,14.808219580231285,89
42,False,12,25.24415019553049,121
27,True,5,12.160549734667295,107
18,True,7,2.603332041050326,36
47,False,18,1.0463048608756416,41
47,False,8,26.9033981194277,128
30,False,2,38.20046975426742,137
26,False,9,14.802954750232676,93
29,False,3,36.14146230381196,126
56,False,8,24.025639862584445,105
41,False,1,15.717726498221428,100
17,False,7,3.9572949596858336,52
31,True,2,10.712287078954592,73
53,False,3,17.26444109513686,103
8,False,11,25.77148597810852,92
54,False,13,7.051367177838896,89
10,False,18,4.026029363622016,17
34,False,8,3.866042873471324,57
34,False,2,4.449202845562653,42
30,False,12,21.42172694126352,93
59,False,6,20.116393744196863,131
15,True,16,20.34204489282984,69
58,False,10,21.979635869772167,118
14,False,20,38.93019175331531,134
60,True,20,1.4128708577139812,72
36,False,14,3.1875847015563763,75
31,False,17,5.016679726153224,48
46,False,14,19.36618211969136,89
42,False,6,20.63437638023836,106
56,True,21,29.742090022092867,127
14,False,6,31.802330976678608,107
29,False,11,37.462477952067616,134
38,False,22,9.55881359808276,71
45,False,23,27.86982664267556,128
22,False,3,10.193029232690725,67
14,False,19,32.539750746755,100
26,False,22,25.680592248566192,100
24,True,8,19.59859117901121,99
25,False,20,2.601202416556996,52
39,True,13,34.4940590126337,146
27,False,23,16.51856976980778,86
36,False,12,11.15913683300657,68
55,False,21,24.00104024761745,103
48,True,17,33.875247077092006,141
51,False,19,39.76499863965635,149
22,False,21,29.047697595275903,108
32,False,17,2.696102683040341,57
32,False,4,25.94099537602436,105
17,False,6,26.96956179096888,99
9,False,7,34.254921215622254,140
41,False,2,30.686667296466933,136
57,False,9,35.34230032363733,154
45,False,5,13.961635545987471,99
26,False,21,39.84176117609474,132
34,False,13,7.675658731053774,68
42,False,15,13.322272633548144,74
54,False,16,9.06645490151171,84
34,False,22,39.31239650976247,156
5,False,15,29.11469279581227,89
31,True,5,18.548717389132968,103
57,False,19,18.01811653798808,113
12,False,1,22.8618324500372,93
39,False,3,0.2831413662736972,45
26,False,11,39.04059634160562,128
41,False,7,30.4904983886112,135
26,True,12,35.685147607275894,132
35,False,21,23.77958052967597,108
59,False,3,22.4556825107388,148
46,False,11,23.24663363547489,115
